
=== Single numbers ===                                                           |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
[2305843009213693951, 2305843009213693951, 2305843009213693951, 23058430092...   :    36      :    36      :    42      :    36      :    36      :    36     
[4611686018427387903, 4611686018427387903, 4611686018427387903, 46116860184...   :    36      :    36      :    42      :    36      :    37      :    36     
[9223372036854775807, 9223372036854775807, 9223372036854775807, 92233720368...   :    36      :    36      :    42      :    36      :    38      :    37     
[18446744073709551615, 18446744073709551615, 18446744073709551615, 18446744...   :    36      :    40      :    44      :    36      :    39      :    38     

=== Array: rather small random numbers ===                                       |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 1, 1, 1, 0, 1, 0, 2, 1]                                                   :    10      :    10      :     5      :     3      :     4      :     3     
[9, 0, 17, 4, 2, 1, 1, 1, 37, 1]                                                 :    10      :    10      :     7      :     6      :     7      :     6     
[0, 2, 0, 3, 0, 0, 1, 1, 82, 0]                                                  :    11      :    10      :     6      :     5      :     5      :     5     
[1, 1, 0, 1, 478, 1, 27, 0, 2, 0]                                                :    11      :    11      :     7      :     6      :     6      :     6     
[1, 0, 245, 1, 22, 9, 1, 0, 249, 0]                                              :    12      :    12      :     8      :     8      :     8      :     8     
[0, 0, 749, 3, 0, 2, 0, 16, 69, 694]                                             :    13      :    12      :     9      :     9      :     9      :     9     
[0, 2, 12, 2888, 1, 4, 0, 770, 442, 11]                                          :    13      :    13      :    10      :    10      :    10      :    10     
[0, 6, 1, 2, 659, 4, 3, 14, 330, 3484]                                           :    13      :    13      :    10      :    10      :    11      :    10     
[0, 0, 1, 1, 1, 6, 0, 7367, 1, 12]                                               :    11      :    11      :     8      :     7      :     7      :     6     
[12, 188, 1, 54, 17, 1, 8, 87145, 1, 1]                                          :    14      :    13      :    11      :    11      :    12      :    11     
[104176, 2, 0, 1, 0, 3, 40867, 0, 6, 0]                                          :    15      :    14      :    10      :    10      :     9      :     9     
[4, 0, 333885, 1, 0, 1, 1, 1, 1, 4]                                              :    13      :    12      :     8      :     6      :     8      :     7     
[117, 1, 513381, 2, 1, 80895, 1, 1, 1, 2]                                        :    17      :    14      :    12      :    11      :    12      :    11     
[4, 55, 0, 3, 9, 55, 296, 1, 1, 28712956]                                        :    15      :    14      :    12      :    14      :    12      :    12     
[32936, 1, 38367, 1, 451649, 759, 2, 810934, 59936255, 13]                       :    25      :    22      :    22      :    22      :    22      :    22     
