
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
576460752303423488 f8 ee ee ee ee ee ee ee ee 2e            11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00101110  576460752303423488
1152921504606846976 f8 ee ee ee ee ee ee ee ee 6e            11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 01101110  1152921504606846976
2305843009213693952 f8 ee ee ee ee ee ee ee ee ee 00         11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000000  2305843009213693952
4611686018427387904 f8 ee ee ee ee ee ee ee ee ee 02         11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000010  4611686018427387904
9223372036854775808 f8 ee ee ee ee ee ee ee ee ee 06         11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000110  9223372036854775808
18446744073709551615 ef ee ee ee ee ee ee ee ee ee 0e         11101111 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00001110  18446744073709551615

    Pairs of integers
Array           Decoded         Len      Hex        Bin             
[0, 0]          [0, 0]          1        00         00000000        
[1, 1]          [1, 1]          1        11         00010001        
[3, 2]          [3, 2]          1        23         00100011        
[6, 3]          [6, 3]          1        36         00110110        
[10, 4]         [10, 4]         2        0a 04      00001010 00000100
[15, 5]         [15, 5]         2        0f 05      00001111 00000101
[21, 6]         [21, 6]         2        1d 06      00011101 00000110
[28, 7]         [28, 7]         2        2c 07      00101100 00000111
[36, 8]         [36, 8]         2        3c 08      00111100 00001000
[45, 9]         [45, 9]         2        4d 09      01001101 00001001
[55, 10]        [55, 10]        2        5f 0a      01011111 00001010

    Array of small integers

Array:    [0]       	(1 elements)
Decoded:  [0]
Hex dump: 00	(1 bytes)
Bin dump: 00000000

Array:    [0, 1]    	(2 elements)
Decoded:  [0, 1]
Hex dump: 10	(1 bytes)
Bin dump: 00010000

Array:    [0, 1, 2] 	(3 elements)
Decoded:  [0, 1, 2]
Hex dump: 10 02	(2 bytes)
Bin dump: 00010000 00000010

Array:    [0, 1, 2, 3]	(4 elements)
Decoded:  [0, 1, 2, 3]
Hex dump: 10 32	(2 bytes)
Bin dump: 00010000 00110010

Array:    [0, 1, 2, 3, 4]	(5 elements)
Decoded:  [0, 1, 2, 3, 4]
Hex dump: 10 32 04	(3 bytes)
Bin dump: 00010000 00110010 00000100

Array:    [0, 1, 2, 3, 4, 5]	(6 elements)
Decoded:  [0, 1, 2, 3, 4, 5]
Hex dump: 10 32 54	(3 bytes)
Bin dump: 00010000 00110010 01010100

Array:    [0, 1, 2, 3, 4, 5, 6]	(7 elements)
Decoded:  [0, 1, 2, 3, 4, 5, 6]
Hex dump: 10 32 54 06	(4 bytes)
Bin dump: 00010000 00110010 01010100 00000110

Array:    [0, 1, 2, 3, 4, 5, 6, 7]	(8 elements)
Decoded:  [0, 1, 2, 3, 4, 5, 6, 7]
Hex dump: 10 32 54 76	(4 bytes)
Bin dump: 00010000 00110010 01010100 01110110

Array:    [0, 1, 2, 3, 4, 5, 6, 7, 8]	(9 elements)
Decoded:  [0, 1, 2, 3, 4, 5, 6, 7, 8]
Hex dump: 10 32 54 76 08	(5 bytes)
Bin dump: 00010000 00110010 01010100 01110110 00001000

Array:    [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	(10 elements)
Decoded:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Hex dump: 10 32 54 76 08 09	(6 bytes)
Bin dump: 00010000 00110010 01010100 01110110 00001000 00001001

    Array of bigger integers

Array:    [0, 1]    	(2 elements)
Decoded:  [0, 1]
Hex dump: 10	(1 bytes)
Bin dump: 00010000

Array:    [0, 1, 4] 	(3 elements)
Decoded:  [0, 1, 4]
Hex dump: 10 04	(2 bytes)
Bin dump: 00010000 00000100

Array:    [0, 1, 4, 9]	(4 elements)
Decoded:  [0, 1, 4, 9]
Hex dump: 10 94 00	(3 bytes)
Bin dump: 00010000 10010100 00000000

Array:    [0, 1, 4, 9, 16]	(5 elements)
Decoded:  [0, 1, 4, 9, 16]
Hex dump: 10 94 80 01	(4 bytes)
Bin dump: 00010000 10010100 10000000 00000001

Array:    [0, 1, 4, 9, 16, 25]	(6 elements)
Decoded:  [0, 1, 4, 9, 16, 25]
Hex dump: 10 94 80 91 02	(5 bytes)
Bin dump: 00010000 10010100 10000000 10010001 00000010

Array:    [0, 1, 4, 9, 16, 25, 36]	(7 elements)
Decoded:  [0, 1, 4, 9, 16, 25, 36]
Hex dump: 10 94 80 91 c2 03	(6 bytes)
Bin dump: 00010000 10010100 10000000 10010001 11000010 00000011

Array:    [0, 1, 4, 9, 16, 25, 36, 49]	(8 elements)
Decoded:  [0, 1, 4, 9, 16, 25, 36, 49]
Hex dump: 10 94 80 91 c2 93 05	(7 bytes)
Bin dump: 00010000 10010100 10000000 10010001 11000010 10010011 00000101

Array:    [0, 1, 4, 9, 16, 25, 36, 49, 64]	(9 elements)
Decoded:  [0, 1, 4, 9, 16, 25, 36, 49, 64]
Hex dump: 10 94 80 91 c2 93 85 07	(8 bytes)
Bin dump: 00010000 10010100 10000000 10010001 11000010 10010011 10000101 00000111

Array:    [0, 1, 4, 9, 16, 25, 36, 49, 64, 81]	(10 elements)
Decoded:  [0, 1, 4, 9, 16, 25, 36, 49, 64, 81]
Hex dump: 10 94 80 91 c2 93 85 97 09	(9 bytes)
Bin dump: 00010000 10010100 10000000 10010001 11000010 10010011 10000101 10010111 00001001
